geopolitical_zone,diabetes_percent,ci_lower,ci_upper
North West,3.0,1.7,4.3
North East,5.9,2.4,9.4
North Central,3.8,2.9,4.7
South West,5.5,4.0,7.1
South East,4.6,3.4,5.9
South South,9.8,7.2,12.4
